carname,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,seats,city
Maruti Alto,2009,72264,Hybrid,Dealer,Manual,First Owner,11.04,884,7,Ahmedabad
Maruti Alto,2015,170659,Electric,Dealer,Manual,First Owner,36.79,1409,11,Jaipur
Maruti Alto,2018,191749,Electric,Individual,Automatic,Second Owner,29.68,918,7,Surat
Maruti Alto,2000,114881,Electric,Dealer,Automatic,First Owner,31.64,1228,7,Mumbai
Maruti Alto,2020,51435,Petrol,Individual,Manual,First Owner,10.01,1851,7,Hyderabad
Maruti Alto,2001,29374,CNG,Individual,Manual,Second Owner,32.55,1991,11,Bangalore
Maruti Alto,2011,131018,Electric,Dealer,Automatic,First Owner,13.86,1022,11,Chennai
Maruti Alto,2007,92992,Electric,Dealer,Manual,Second Owner,14.22,1034,7,Pune
Maruti Alto,2022,18329,Petrol,Dealer,Automatic,First Owner,14.33,900,5,Pune
Maruti Alto,2003,13886,Hybrid,Dealer,Automatic,Second Owner,30.24,1672,11,Pune
Maruti Alto,2022,83004,CNG,Dealer,Automatic,Second Owner,27.53,1185,7,Surat
Maruti Alto,2017,106160,Petrol,Dealer,Automatic,First Owner,28.27,1129,11,Jaipur
Maruti Alto,2016,25415,CNG,Dealer,Automatic,First Owner,15.68,854,7,Jaipur
Maruti Alto,2022,79489,Electric,Individual,Automatic,Second Owner,19.47,983,11,Surat
Maruti Alto,2021,95849,Petrol,Individual,Automatic,First Owner,28.86,1730,5,Jaipur
Maruti Alto,2014,153427,Petrol,Individual,Automatic,Second Owner,38.33,1733,7,Jaipur
Maruti Alto,2004,126326,CNG,Individual,Manual,Second Owner,25.83,1479,11,Mumbai
Maruti Alto,2001,135884,CNG,Dealer,Manual,First Owner,27.22,1495,5,Ahmedabad
Maruti Alto,2023,11091,Diesel,Individual,Manual,Second Owner,35.44,1438,7,Pune
Maruti Alto,2019,150575,Diesel,Individual,Automatic,Second Owner,15.48,1958,7,Bangalore
Maruti Alto,2022,13825,Hybrid,Dealer,Manual,Second Owner,32.84,1520,11,Mumbai
Maruti Alto,2012,109522,Diesel,Individual,Automatic,First Owner,36.76,1032,7,Jaipur
Maruti Alto,2002,150344,Diesel,Individual,Automatic,Second Owner,11.77,1390,11,Mumbai
Maruti Alto,2005,37169,Electric,Individual,Manual,Second Owner,12.04,1595,7,Mumbai
Maruti Alto,2022,117212,CNG,Dealer,Automatic,Second Owner,37.72,1011,5,Jaipur
Maruti Alto,2013,180537,CNG,Individual,Manual,Second Owner,17.34,1089,5,Surat
Maruti Alto,2020,111620,Diesel,Dealer,Automatic,First Owner,26.47,1783,7,Mumbai
Maruti Alto,2022,34471,Diesel,Individual,Manual,Second Owner,33.14,1434,11,Bangalore
Maruti Alto,2000,173927,Electric,Dealer,Manual,First Owner,38.12,1197,5,Kolkata
Maruti Alto,2002,17833,Electric,Dealer,Manual,Second Owner,13.91,1279,5,Kolkata
Maruti Alto,2019,163347,CNG,Dealer,Automatic,First Owner,26.8,1463,5,Jaipur
Maruti Alto,2018,156347,CNG,Dealer,Automatic,Second Owner,26.77,1058,7,Surat
Maruti Alto,2020,160759,CNG,Dealer,Automatic,Second Owner,22.79,1528,5,Jaipur
Maruti Alto,2020,186252,Hybrid,Dealer,Manual,Second Owner,27.75,1832,5,Chennai
Maruti Alto,2012,139414,Petrol,Dealer,Automatic,First Owner,21.77,1025,7,Chennai
Maruti Alto,2022,75722,CNG,Dealer,Automatic,First Owner,12.85,965,5,Delhi
Maruti Alto,2009,189406,Diesel,Individual,Automatic,First Owner,22.63,1628,7,Bangalore
Maruti Alto,2008,49703,CNG,Individual,Manual,Second Owner,10.8,1557,5,Mumbai
Maruti Alto,2014,129734,Electric,Individual,Manual,First Owner,27.42,1952,5,Delhi
Maruti Alto,2012,173636,CNG,Individual,Manual,Second Owner,15.84,1025,7,Pune
Maruti Alto,2021,80999,CNG,Dealer,Manual,Second Owner,10.17,1539,11,Kolkata
Maruti Alto,2001,18463,Diesel,Individual,Manual,Second Owner,13.59,1203,7,Mumbai
Maruti Alto,2011,100917,Diesel,Individual,Automatic,Second Owner,35.66,1091,5,Ahmedabad
Maruti Alto,2023,127168,CNG,Individual,Manual,Second Owner,16.1,1653,11,Chennai
Maruti Alto,2008,154475,Petrol,Individual,Manual,Second Owner,31.77,1079,5,Bangalore
Maruti Alto,2013,5803,Diesel,Individual,Manual,First Owner,18.85,1916,5,Mumbai
Maruti Alto,2018,8052,Petrol,Individual,Automatic,Second Owner,30.26,1500,11,Hyderabad
Maruti Alto,2006,87025,Electric,Dealer,Automatic,Second Owner,14.5,1084,11,Hyderabad
Maruti Alto,2012,159787,CNG,Dealer,Automatic,Second Owner,35.86,1835,11,Pune
Maruti Alto,2003,162200,CNG,Dealer,Automatic,Second Owner,14.57,1449,11,Pune
Maruti Swift,2021,155922,Electric,Dealer,Manual,First Owner,21.66,1834,5,Jaipur
Maruti Swift,2017,26539,Petrol,Individual,Automatic,Second Owner,23.47,1891,11,Jaipur
