carname,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,seats,city
Maruti Alto,2009,112147,Hybrid,Dealer,Manual,First Owner,11.04,1.0,7,Ahmedabad
Maruti Alto,2015,122165,Electric,Dealer,Manual,First Owner,36.79,1.8,11,Jaipur
Maruti Alto,2018,44532,Electric,Individual,Automatic,Second Owner,29.68,2.0,7,Surat
Maruti Alto,2000,37987,Electric,Dealer,Automatic,First Owner,31.64,1.6,7,Mumbai
Maruti Alto,2020,31566,Petrol,Individual,Manual,First Owner,10.01,2.0,7,Hyderabad
Maruti Alto,2001,86058,CNG,Individual,Manual,Second Owner,32.55,2.0,11,Bangalore
Maruti Alto,2011,51735,Electric,Dealer,Automatic,First Owner,13.86,2.2,11,Chennai
Maruti Alto,2007,121968,Electric,Dealer,Manual,Second Owner,14.22,1.6,7,Pune
Maruti Alto,2022,68221,Petrol,Dealer,Automatic,First Owner,14.33,2.2,5,Pune
Maruti Alto,2003,117584,Hybrid,Dealer,Automatic,Second Owner,30.24,1.6,11,Pune
Maruti Alto,2022,72198,CNG,Dealer,Automatic,Second Owner,27.53,1.8,7,Surat
Maruti Alto,2017,75777,Petrol,Dealer,Automatic,First Owner,28.27,1.4,11,Jaipur
Maruti Alto,2016,51403,CNG,Dealer,Automatic,First Owner,15.68,1.4,7,Jaipur
Maruti Alto,2022,51947,Electric,Individual,Automatic,Second Owner,19.47,1.2,11,Surat
Maruti Alto,2021,114908,Petrol,Individual,Automatic,First Owner,28.86,2.4,5,Jaipur
Maruti Alto,2014,66384,Petrol,Individual,Automatic,Second Owner,38.33,1.8,7,Jaipur
Maruti Alto,2004,96841,CNG,Individual,Manual,Second Owner,25.83,1.4,11,Mumbai
Maruti Alto,2001,106942,CNG,Dealer,Manual,First Owner,27.22,1.6,5,Ahmedabad
Maruti Alto,2023,47597,Diesel,Individual,Manual,Second Owner,35.44,1.0,7,Pune
Maruti Alto,2019,51763,Diesel,Individual,Automatic,Second Owner,15.48,1.4,7,Bangalore
Maruti Alto,2022,68659,Hybrid,Dealer,Manual,Second Owner,32.84,1.0,11,Mumbai
Maruti Alto,2012,61397,Diesel,Individual,Automatic,First Owner,36.76,1.6,7,Jaipur
Maruti Alto,2002,66451,Diesel,Individual,Automatic,Second Owner,11.77,1.6,11,Mumbai
Maruti Alto,2005,79856,Electric,Individual,Manual,Second Owner,12.04,2.6,7,Mumbai
Maruti Alto,2022,32823,CNG,Dealer,Automatic,Second Owner,37.72,2.4,5,Jaipur
Maruti Alto,2013,68167,CNG,Individual,Manual,Second Owner,17.34,1.4,5,Surat
Maruti Alto,2020,32709,Diesel,Dealer,Automatic,First Owner,26.47,2.0,7,Mumbai
Maruti Alto,2022,114190,Diesel,Individual,Manual,Second Owner,33.14,1.2,11,Bangalore
Maruti Alto,2000,42025,Electric,Dealer,Manual,First Owner,38.12,1.2,5,Kolkata
Maruti Alto,2002,62892,Electric,Dealer,Manual,Second Owner,13.91,2.2,5,Kolkata
Maruti Alto,2019,96083,CNG,Dealer,Automatic,First Owner,26.8,2.0,5,Jaipur
Maruti Alto,2018,54326,CNG,Dealer,Automatic,Second Owner,26.77,2.4,7,Surat
Maruti Alto,2020,102495,CNG,Dealer,Automatic,Second Owner,22.79,2.4,5,Jaipur
Maruti Alto,2020,42085,Hybrid,Dealer,Manual,Second Owner,27.75,2.2,5,Chennai
Maruti Alto,2012,81892,Petrol,Dealer,Automatic,First Owner,21.77,2.6,7,Chennai
Maruti Alto,2022,90169,CNG,Dealer,Automatic,First Owner,12.85,2.6,5,Delhi
Maruti Alto,2009,70590,Diesel,Individual,Automatic,First Owner,22.63,2.6,7,Bangalore
Maruti Alto,2008,24031,CNG,Individual,Manual,Second Owner,10.8,2.6,5,Mumbai
Maruti Alto,2014,41903,Electric,Individual,Manual,First Owner,27.42,2.6,5,Delhi
Maruti Alto,2012,42429,CNG,Individual,Manual,Second Owner,15.84,1.2,7,Pune
Maruti Alto,2021,36578,CNG,Dealer,Manual,Second Owner,10.17,2.6,11,Kolkata
Maruti Alto,2001,55079,Diesel,Individual,Manual,Second Owner,13.59,2.0,7,Mumbai
Maruti Alto,2011,70675,Diesel,Individual,Automatic,Second Owner,35.66,1.8,5,Ahmedabad
Maruti Alto,2023,79902,CNG,Individual,Manual,Second Owner,16.1,2.2,11,Chennai
Maruti Alto,2008,101879,Petrol,Individual,Manual,Second Owner,31.77,1.0,5,Bangalore
Maruti Alto,2013,98856,Diesel,Individual,Manual,First Owner,18.85,1.2,5,Mumbai
Maruti Alto,2018,68529,Petrol,Individual,Automatic,Second Owner,30.26,1.4,11,Hyderabad
